product_name,category,features,audience,keywords
Aurora Linen Shirt,Fashion,"100% linen, breathable fabric, mother-of-pearl buttons, machine washable",men seeking lightweight summer wear,"linen shirt, breathable, summer"
VoltCharge Pro Power Bank,Electronics,"20,000mAh capacity, USB-C PD, fast charging, LED display",travelers and commuters needing all-day power,"power bank, USB-C, fast charge"
CaféCraft Pour-Over Kit,Home & Kitchen,"glass carafe, reusable stainless filter, gooseneck kettle, barista guide",coffee lovers who enjoy hand-brewed flavor,"pour-over, coffee kit, home barista"
ZenFlow Yoga Mat,Sports & Outdoors,"non-slip surface, 6mm cushioning, eco-friendly TPE, carry strap",beginners and intermediate yoga practitioners,"yoga mat, non-slip, eco-friendly"
PixelPals Kids Tablet,Kids & Education,"7-inch HD display, parental controls, shockproof case, 32GB storage",parents looking for safe learning tech,"kids tablet, parental control, learning apps"
GlowUp LED Vanity Mirror,Beauty,"tri-fold design, adjustable brightness, 1x/2x/3x magnification, USB powered",makeup enthusiasts and beauty pros,"LED mirror, vanity, makeup"
"ChefSteel Carbon Pan 10""",Home & Kitchen,"pre-seasoned, oven safe, rapid heat, riveted handle",home cooks who want restaurant-quality searing,"carbon steel pan, searing, cookware"
TrailLite Hiking Backpack 35L,Sports & Outdoors,"lightweight, ventilated back panel, hydration sleeve, rain cover",day hikers and weekend adventurers,"hiking backpack, 35L, lightweight"
Nimbus Memory Foam Pillow,Home & Living,"cooling gel, washable cover, ergonomic support, hypoallergenic",side and back sleepers needing neck support,"memory foam pillow, cooling, ergonomic"
StudioWave Wireless Earbuds,Electronics,"Bluetooth 5.3, ANC, 30-hour battery, IPX5 water resistance",commuters and gym-goers who want clear sound,"wireless earbuds, ANC, Bluetooth"
EcoSip Insulated Bottle 24oz,Home & Living,"double-wall stainless steel, keeps cold 24h, leakproof lid, BPA-free",students and office workers staying hydrated,"insulated bottle, stainless steel, BPA-free"
Pawsome Orthopedic Dog Bed (M),Pets,"memory foam base, washable cover, anti-slip bottom, supportive bolsters",dog owners who want joint-friendly rest,"dog bed, orthopedic, washable"
